,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal
2501,2023-01-11 01:13:00,123.11,123.05,123.16,123.05,239304,239304,239304,分时图,68.22935325014993,87.45218755081308,0,0,0,0,239304,0,0,0,0,0,0,0,0,0,0,0,0
2502,2023-01-11 01:14:00,123.03,122.91,123.03,122.89,264008,264008,264008,分时图,68.22935325014993,87.45218755081308,0,0,0,0,264008,0,0,0,0,0,0,0,0,0,0,0,0
2503,2023-01-11 01:15:00,123.02,122.96,123.02,122.96,171424,171424,171424,分时图,68.22935325014993,87.45218755081308,0,0,0,0,171424,0,0,0,0,0,0,0,0,0,0,0,0
2504,2023-01-11 01:16:00,122.97,122.86,122.98,122.86,209264,209264,209264,分时图,68.22935325014993,87.45218755081308,0,0,0,0,209264,0,0,0,0,0,0,0,0,0,0,0,0
2505,2023-01-11 01:17:00,122.81,122.57,122.81,122.57,352320,352320,352320,分时图,66.74569918934512,87.45218755081308,0,0,0,0,352320,0,0,0,0,0,0,0,0,0,0,0,0
2506,2023-01-11 01:18:00,122.52,122.35,122.52,122.27,607848,607848,607848,分时图,66.74569918934512,87.45218755081308,0,0,0,0,607848,0,0,0,0,0,0,0,0,0,0,0,0
2507,2023-01-11 01:19:00,122.38,122.47,122.57,122.36,410568,410568,410568,分时图,66.74569918934512,87.45218755081308,0,0,0,0,410568,0,0,0,0,0,0,0,0,0,0,0,0
2508,2023-01-11 01:20:00,122.46,122.57,122.57,122.46,243264,243264,243264,分时图,66.74569918934512,87.45218755081308,0,0,0,0,243264,0,0,0,0,0,0,0,0,0,0,0,0
2509,2023-01-11 01:21:00,122.53,122.44,122.67,122.44,297296,297296,297296,分时图,66.74569918934512,87.45218755081308,0,0,0,0,297296,0,0,0,0,0,0,0,0,0,0,0,0
2510,2023-01-11 01:22:00,122.37,122.38,122.42,122.32,414352,414352,414352,分时图,65.3161286820372,87.45218755081308,0,0,0,0,414352,0,0,0,0,0,0,0,0,0,0,0,0
2511,2023-01-11 01:23:00,122.41,122.5,122.5,122.4,240200,240200,240200,分时图,65.3161286820372,87.45218755081308,0,0,0,0,240200,0,0,0,0,0,0,0,0,0,0,0,0
2512,2023-01-11 01:24:00,122.53,122.56,122.56,122.48,205472,205472,205472,分时图,65.3161286820372,87.45218755081308,0,0,0,0,205472,0,0,0,0,0,0,0,0,0,0,0,0
2513,2023-01-11 01:25:00,122.56,122.6,122.63,122.52,211680,211680,211680,分时图,65.3161286820372,87.45218755081308,0,0,0,0,211680,0,0,0,0,0,0,0,0,0,0,0,0
2514,2023-01-11 01:26:00,122.54,122.44,122.55,122.4,243064,243064,243064,分时图,65.3161286820372,87.45218755081308,0,0,0,0,243064,0,0,0,0,0,0,0,0,0,0,0,0
2515,2023-01-11 01:27:00,122.37,122.43,122.48,122.37,207120,207120,207120,分时图,63.83497472999812,87.45218755081308,0,0,0,0,207120,0,0,0,0,0,0,0,0,0,0,0,0
2516,2023-01-11 01:28:00,122.4,122.37,122.4,122.33,217584,217584,217584,分时图,63.83497472999812,87.45218755081308,0,0,0,0,217584,0,0,0,0,0,0,0,0,0,0,0,0
2517,2023-01-11 01:29:00,122.44,122.6,122.63,122.44,284560,284560,284560,分时图,63.83497472999812,87.45218755081308,0,0,0,0,284560,0,0,0,0,0,0,0,0,0,0,0,0
2518,2023-01-11 01:30:00,122.45,122.53,122.59,122.45,154648,154648,154648,分时图,63.83497472999812,87.45218755081308,0,0,0,0,154648,0,0,0,0,0,0,0,0,0,0,0,0
2519,2023-01-11 01:31:00,122.68,122.43,122.68,122.41,418488,418488,418488,分时图,63.83497472999812,87.45218755081308,0,0,0,0,418488,0,0,0,0,0,0,0,0,0,0,0,0
2520,2023-01-11 01:32:00,122.32,122.34,122.36,122.32,226176,226176,226176,分时图,61.76235660562793,86.52251713385539,0,0,0,0,226176,0,0,0,0,0,0,0,0,0,0,0,0
2521,2023-01-11 01:33:00,122.46,122.35,122.51,122.35,225216,225216,225216,分时图,61.76235660562793,86.52251713385539,0,0,0,0,225216,0,0,0,0,0,0,0,0,0,0,0,0
2522,2023-01-11 01:34:00,122.34,122.21,122.34,122.14,532424,532424,532424,分时图,61.76235660562793,86.52251713385539,0,0,0,0,532424,0,0,0,0,0,0,0,0,0,0,0,0
2523,2023-01-11 01:35:00,122.21,122.03,122.21,122.03,681344,681344,681344,分时图,61.76235660562793,86.52251713385539,0,0,0,0,681344,0,0,0,0,0,0,0,0,0,0,0,0
2524,2023-01-11 01:36:00,122.01,122.08,122.15,122.01,296024,296024,296024,分时图,61.76235660562793,86.52251713385539,0,0,0,0,296024,0,0,0,0,0,0,0,0,0,0,0,0
2525,2023-01-11 01:37:00,122.03,122.0,122.12,122.0,413288,413288,413288,分时图,59.90601186083467,86.52251713385539,0,0,0,0,413288,0,0,0,0,0,0,0,0,0,0,0,0
2526,2023-01-11 01:38:00,121.96,121.9,121.96,121.82,440240,440240,440240,分时图,59.90601186083467,86.52251713385539,0,0,0,0,440240,0,0,0,0,0,0,0,0,0,0,0,0
2527,2023-01-11 01:39:00,121.87,121.91,121.91,121.74,364160,364160,364160,分时图,59.90601186083467,86.52251713385539,0,0,0,0,364160,0,0,0,0,0,0,0,0,0,0,0,0
2528,2023-01-11 01:40:00,121.96,121.95,121.96,121.92,280688,280688,280688,分时图,59.90601186083467,86.52251713385539,0,0,0,0,280688,0,0,0,0,0,0,0,0,0,0,0,0
2529,2023-01-11 01:41:00,122.03,122.14,122.15,122.03,375288,375288,375288,分时图,59.90601186083467,86.52251713385539,0,0,0,0,375288,0,0,0,0,0,0,0,0,0,0,0,0
2530,2023-01-11 01:42:00,122.12,122.03,122.12,122.03,197504,197504,197504,分时图,56.652069705677235,86.52251713385539,0,0,0,0,197504,0,0,0,0,0,0,0,0,0,0,0,0
2531,2023-01-11 01:43:00,122.03,121.91,122.03,121.79,437256,437256,437256,分时图,56.652069705677235,86.52251713385539,0,0,0,0,437256,0,0,0,0,0,0,0,0,0,0,0,0
2532,2023-01-11 01:44:00,121.83,121.78,121.91,121.77,244544,244544,244544,分时图,56.652069705677235,86.52251713385539,0,0,0,0,244544,0,0,0,0,0,0,0,0,0,0,0,0
2533,2023-01-11 01:45:00,121.8,121.85,121.96,121.8,240288,240288,240288,分时图,56.652069705677235,86.52251713385539,0,0,0,0,240288,0,0,0,0,0,0,0,0,0,0,0,0
2534,2023-01-11 01:46:00,121.77,121.68,121.79,121.68,392688,392688,392688,分时图,56.652069705677235,86.52251713385539,0,0,0,0,392688,0,0,0,0,0,0,0,0,0,0,0,0
2535,2023-01-11 01:47:00,121.69,121.66,121.69,121.56,360360,360360,360360,分时图,53.82818727857037,86.52251713385539,0,0,0,0,360360,0,0,0,0,0,0,0,0,0,0,0,0
2536,2023-01-11 01:48:00,121.6,121.62,121.66,121.59,215376,215376,215376,分时图,53.82818727857037,86.52251713385539,0,0,0,0,215376,0,0,0,0,0,0,0,0,0,0,0,0
2537,2023-01-11 01:49:00,121.64,121.62,121.67,121.51,299464,299464,299464,分时图,53.82818727857037,86.52251713385539,0,0,0,0,299464,0,0,0,0,0,0,0,0,0,0,0,0
2538,2023-01-11 01:50:00,121.64,121.67,121.68,121.63,225952,225952,225952,分时图,53.82818727857037,86.52251713385539,0,0,0,0,225952,0,0,0,0,0,0,0,0,0,0,0,0
2539,2023-01-11 01:51:00,121.67,121.7,121.72,121.66,273944,273944,273944,分时图,53.82818727857037,86.52251713385539,0,0,0,0,273944,0,0,0,0,0,0,0,0,0,0,0,0
2540,2023-01-11 01:52:00,121.73,121.84,121.84,121.73,317408,317408,317408,分时图,51.535749361876185,86.52251713385539,0,0,0,0,317408,0,0,0,0,0,0,0,0,0,0,0,0
2541,2023-01-11 01:53:00,121.84,121.94,121.94,121.84,337616,337616,337616,分时图,51.535749361876185,86.52251713385539,0,0,0,0,337616,0,0,0,0,0,0,0,0,0,0,0,0
2542,2023-01-11 01:54:00,121.96,121.75,121.96,121.74,325640,325640,325640,分时图,51.535749361876185,86.52251713385539,0,0,0,0,325640,0,0,0,0,0,0,0,0,0,0,0,0
2543,2023-01-11 01:55:00,121.72,121.68,121.73,121.68,222208,222208,222208,分时图,51.535749361876185,86.52251713385539,0,0,0,0,222208,0,0,0,0,0,0,0,0,0,0,0,0
2544,2023-01-11 01:56:00,121.63,121.78,121.78,121.63,211824,211824,211824,分时图,51.535749361876185,86.52251713385539,0,0,0,0,211824,0,0,0,0,0,0,0,0,0,0,0,0
2545,2023-01-11 01:57:00,121.87,121.8,121.92,121.78,286200,286200,286200,分时图,48.624150931085154,86.52251713385539,0,0,0,0,286200,0,0,0,0,0,0,0,0,0,0,0,0
2546,2023-01-11 01:58:00,121.77,121.67,121.77,121.67,170544,170544,170544,分时图,48.624150931085154,86.52251713385539,0,0,0,0,170544,0,0,0,0,0,0,0,0,0,0,0,0
2547,2023-01-11 01:59:00,121.6,121.67,121.74,121.6,273360,273360,273360,分时图,48.624150931085154,86.52251713385539,0,0,0,0,273360,0,0,0,0,0,0,0,0,0,0,0,0
2548,2023-01-11 02:00:00,121.64,121.71,121.71,121.64,131912,131912,131912,分时图,48.624150931085154,86.52251713385539,0,0,0,0,131912,0,0,0,0,0,0,0,0,0,0,0,0
2549,2023-01-11 02:01:00,121.61,121.61,121.66,121.53,258872,258872,258872,分时图,48.624150931085154,86.52251713385539,0,0,0,0,258872,0,0,0,0,0,0,0,0,0,0,0,0
2550,2023-01-11 02:02:00,121.61,121.79,121.79,121.6,276416,276416,276416,分时图,46.89749329725177,86.10715042669509,0,0,0,0,276416,0,0,0,0,0,0,0,0,0,0,0,0
2551,2023-01-11 02:03:00,121.76,121.97,122.01,121.76,432792,432792,432792,分时图,46.89749329725177,86.10715042669509,0,0,0,0,432792,0,0,0,0,0,0,0,0,0,0,0,0
2552,2023-01-11 02:04:00,121.96,122.09,122.15,121.95,337080,337080,337080,分时图,46.89749329725177,86.10715042669509,0,0,0,0,337080,0,0,0,0,0,0,0,0,0,0,0,0
2553,2023-01-11 02:05:00,122.16,122.14,122.34,122.14,468816,468816,468816,分时图,46.89749329725177,86.10715042669509,0,0,0,0,468816,0,0,0,0,0,0,0,0,0,0,0,0
2554,2023-01-11 02:06:00,122.18,121.94,122.18,121.94,322664,322664,322664,分时图,46.89749329725177,86.10715042669509,0,0,0,0,322664,0,0,0,0,0,0,0,0,0,0,0,0
2555,2023-01-11 02:07:00,122.0,122.17,122.19,122.0,300536,300536,300536,分时图,46.25499448723096,86.10715042669509,0,0,0,0,300536,0,0,0,0,0,0,0,0,0,0,0,0
2556,2023-01-11 02:08:00,122.27,122.15,122.35,122.15,336752,336752,336752,分时图,46.25499448723096,86.10715042669509,0,0,0,0,336752,0,0,0,0,0,0,0,0,0,0,0,0
2557,2023-01-11 02:09:00,122.15,122.13,122.2,122.13,250256,250256,250256,分时图,46.25499448723096,86.10715042669509,0,0,0,0,250256,0,0,0,0,0,0,0,0,0,0,0,0
2558,2023-01-11 02:10:00,122.2,122.36,122.38,122.2,361560,361560,361560,分时图,46.25499448723096,86.10715042669509,0,0,0,0,361560,0,0,0,0,0,0,0,0,0,0,0,0
2559,2023-01-11 02:11:00,122.34,122.28,122.34,122.28,292624,292624,292624,分时图,46.25499448723096,86.10715042669509,0,0,0,0,292624,0,0,0,0,0,0,0,0,0,0,0,0
2560,2023-01-11 02:12:00,122.22,122.16,122.22,122.07,293752,293752,293752,分时图,41.125940716046586,86.10715042669509,0,0,0,0,293752,0,0,0,0,0,0,0,0,0,0,0,0
2561,2023-01-11 02:13:00,122.15,122.18,122.18,122.15,147616,147616,147616,分时图,41.125940716046586,86.10715042669509,0,0,0,0,147616,0,0,0,0,0,0,0,0,0,0,0,0
2562,2023-01-11 02:14:00,122.11,122.32,122.32,122.11,256496,256496,256496,分时图,41.125940716046586,86.10715042669509,0,0,0,0,256496,0,0,0,0,0,0,0,0,0,0,0,0
2563,2023-01-11 02:15:00,122.29,122.25,122.29,122.22,186968,186968,186968,分时图,41.125940716046586,86.10715042669509,0,0,0,0,186968,0,0,0,0,0,0,0,0,0,0,0,0
2564,2023-01-11 02:16:00,122.34,122.12,122.34,122.12,471608,471608,471608,分时图,41.125940716046586,86.10715042669509,0,0,0,0,471608,0,0,0,0,0,0,0,0,0,0,0,0
2565,2023-01-11 02:17:00,122.11,121.62,122.11,121.52,664680,664680,664680,分时图,34.49343231829141,86.10715042669509,0,0,0,0,664680,0,0,0,0,0,0,0,0,0,0,0,0
2566,2023-01-11 02:18:00,121.71,121.56,121.72,121.56,402216,402216,402216,分时图,34.49343231829141,86.10715042669509,0,0,0,0,402216,0,0,0,0,0,0,0,0,0,0,0,0
2567,2023-01-11 02:19:00,121.52,121.57,121.73,121.52,383880,383880,383880,分时图,34.49343231829141,86.10715042669509,0,0,0,0,383880,0,0,0,0,0,0,0,0,0,0,0,0
2568,2023-01-11 02:20:00,121.58,121.67,121.72,121.58,328136,328136,328136,分时图,34.49343231829141,86.10715042669509,0,0,0,0,328136,0,0,0,0,0,0,0,0,0,0,0,0
2569,2023-01-11 02:21:00,121.62,121.67,121.69,121.62,202432,202432,202432,分时图,34.49343231829141,86.10715042669509,0,0,0,0,202432,0,0,0,0,0,0,0,0,0,0,0,0
2570,2023-01-11 02:22:00,121.7,121.81,121.86,121.7,313248,313248,313248,分时图,29.996224504768975,86.10715042669509,0,0,0,0,313248,0,0,0,0,0,0,0,0,0,0,0,0
2571,2023-01-11 02:23:00,121.81,121.94,121.94,121.81,268128,268128,268128,分时图,29.996224504768975,86.10715042669509,0,0,0,0,268128,0,0,0,0,0,0,0,0,0,0,0,0
2572,2023-01-11 02:24:00,121.92,121.8,121.92,121.76,283112,283112,283112,分时图,29.996224504768975,86.10715042669509,0,0,0,0,283112,0,0,0,0,0,0,0,0,0,0,0,0
2573,2023-01-11 02:25:00,121.92,122.06,122.12,121.92,377520,377520,377520,分时图,29.996224504768975,86.10715042669509,0,0,0,0,377520,0,0,0,0,0,0,0,0,0,0,0,0
2574,2023-01-11 02:26:00,122.09,122.03,122.13,122.03,268824,268824,268824,分时图,29.996224504768975,86.10715042669509,0,0,0,0,268824,0,0,0,0,0,0,0,0,0,0,0,0
2575,2023-01-11 02:27:00,122.03,121.93,122.03,121.93,208696,208696,208696,分时图,26.063075598422074,86.10715042669509,0,0,0,0,208696,0,0,0,0,0,0,0,0,0,0,0,0
2576,2023-01-11 02:28:00,121.97,121.88,122.0,121.88,190856,190856,190856,分时图,26.063075598422074,86.10715042669509,0,0,0,0,190856,0,0,0,0,0,0,0,0,0,0,0,0
2577,2023-01-11 02:29:00,121.83,121.99,121.99,121.83,308256,308256,308256,分时图,26.063075598422074,86.10715042669509,0,0,0,0,308256,0,0,0,0,0,0,0,0,0,0,0,0
2578,2023-01-11 02:30:00,121.93,122.06,122.06,121.93,227184,227184,227184,分时图,26.063075598422074,86.10715042669509,0,0,0,0,227184,0,0,0,0,0,0,0,0,0,0,0,0
2579,2023-01-11 02:31:00,122.07,122.18,122.18,122.06,343144,343144,343144,分时图,26.063075598422074,86.10715042669509,0,0,0,0,343144,0,0,0,0,0,0,0,0,0,0,0,0
2580,2023-01-11 02:32:00,122.2,122.14,122.2,122.14,214680,214680,214680,分时图,22.26806638425481,85.33694589016378,0,0,0,0,214680,0,0,0,0,0,0,0,0,0,0,0,0
2581,2023-01-11 02:33:00,122.12,122.12,122.14,122.08,217384,217384,217384,分时图,22.26806638425481,85.33694589016378,0,0,0,0,217384,0,0,0,0,0,0,0,0,0,0,0,0
